text,imageURN,folioReference
urn:cts:greekLit:tlg5026.msA:8.253,"urn:cite:hmt:vaimg.VA108RN-0280@0.6126,0.6661,0.2311,0.0812",urn:cite:hmt:msA.msA-108r
urn:cts:greekLit:tlg5026.msA:8.254,"urn:cite:hmt:vaimg.VA108RN-0280@0.1752,0.7378,0.5586,0.0398",urn:cite:hmt:msA.msA-108r
urn:cts:greekLit:tlg5026.msA:8.258,"urn:cite:hmt:vaimg.VA108VN-0611@0.1728,0.1301,0.7148,0.0766",urn:cite:hmt:msA.msA-108v
urn:cts:greekLit:tlg5026.msA:8.259,"urn:cite:hmt:vaimg.VA108VN-0611@0.188,0.3289,0.2316,0.0781",urn:cite:hmt:msA.msA-108v
urn:cts:greekLit:tlg5026.msA:8.260,"urn:cite:hmt:vaimg.VA108VN-0611@0.1908,0.3887,0.2256,0.067",urn:cite:hmt:msA.msA-108v
urn:cts:greekLit:tlg5026.msA:8.261,"urn:cite:hmt:vaimg.VA108VN-0611@0.184,0.435,0.2396,0.1589",urn:cite:hmt:msA.msA-108v
urn:cts:greekLit:tlg5026.msA:8.262,"urn:cite:hmt:vaimg.VA108VN-0611@0.1912,0.5737,0.236,0.0559",urn:cite:hmt:msA.msA-108v
urn:cts:greekLit:tlg5026.msA:8.263,"urn:cite:hmt:vaimg.VA108VN-0611@0.1828,0.6122,0.2492,0.082",urn:cite:hmt:msA.msA-108v
urn:cts:greekLit:tlg5026.msA:8.264,"urn:cite:hmt:vaimg.VA108VN-0611@0.186,0.6756,0.278,0.1078",urn:cite:hmt:msA.msA-108v
urn:cts:greekLit:tlg5026.msA:8.265,"urn:cite:hmt:vaimg.VA108VN-0611@0.2048,0.7266,0.6672,0.0886",urn:cite:hmt:msA.msA-108v
urn:cts:greekLit:tlg5026.msA:8.269,"urn:cite:hmt:vaimg.VA109RN-0281@0.1762,0.1195,0.6436,0.0579",urn:cite:hmt:msA.msA-109r
urn:cts:greekLit:tlg5026.msA:8.270,"urn:cite:hmt:vaimg.VA109RN-0281@0.6463,0.3936,0.1579,0.0431",urn:cite:hmt:msA.msA-109r
urn:cts:greekLit:tlg5026.msA:8.271,"urn:cite:hmt:vaimg.VA109RN-0281@0.624,0.432,0.1859,0.0597",urn:cite:hmt:msA.msA-109r
urn:cts:greekLit:tlg5026.msA:8.272,"urn:cite:hmt:vaimg.VA109RN-0281@0.633,0.4912,0.1783,0.074",urn:cite:hmt:msA.msA-109r
urn:cts:greekLit:tlg5026.msA:8.273,"urn:cite:hmt:vaimg.VA109RN-0281@0.627,0.5597,0.1889,0.0664",urn:cite:hmt:msA.msA-109r
urn:cts:greekLit:tlg5026.msA:8.274,"urn:cite:hmt:vaimg.VA109RN-0281@0.1642,0.6131,0.6607,0.145",urn:cite:hmt:msA.msA-109r
urn:cts:greekLit:tlg5026.msA:8.275,"urn:cite:hmt:vaimg.VA109RN-0281@0.1645,0.742,0.6522,0.0507",urn:cite:hmt:msA.msA-109r
